PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_TM,PMNTN_RISK,PMNTN_RECO
7416,487200104,금산,송도교삼거리-마산제방구간,,1.04,1,31,,
46892,277102901,죽곡산,강정 우방타운-매곡 배수장구간,매곡배수장,1.02,1,31,뱀이나 각종 위해 조수,
13437,483101501,독봉산,,,1.04,1,31,,
2588,483100401,계룡산,상동동구간,,1.04,1,31,,
149,483100101,가라산,,,1.02,1,31,,
56635,482504801,황새봉,,,1.03,1,31,,
46032,481100701,정병산,,,1.02,1,31,,
41652,481901001,웅산,,,1.04,1,31,,
28004,481900701,불모산,소사동구간,,1.03,1,31,,
2549,482500201,경운산,,,1.03,1,31,,
5502,261400101,구덕산,,,1.04,1,31,,
8277,264100101,금정산,,,1.04,1,31,,
8290,264100101,금정산,가산리구간,,1.02,1,31,,
8018,264100101,금정산,,,1.03,1,31,,
43809,262900804,이기대도시자연공원,용호동구간,,1.02,1,31,,
8269,264100101,금정산,,,1.03,1,31,,
8269,264100101,금정산,,,1.03,1,31,,
52675,482705301,하서산,,,1.02,1,31,,
48975,483302201,천태산,,,1.02,1,31,,
46525,482704301,종남산,후사포리구간,,1.04,1,31,,
46531,482704301,종남산,전사포리구간,,1.04,1,31,,
17574,482501401,무척산,,,1.04,1,31,,
15761,482701601,만어산,감물리구간,,0.85,1,31,,
43101,264100201,윤산,,,1.02,1,31,,
35392,267101101,아홉산,장전리구간,,1.04,1,31,,
49016,483302201,천태산,,,1.04,1,31,,
45440,482505101,장척산,,,1.02,1,31,,
40473,482703501,용암봉,,,1.04,1,31,,
38005,483301201,염수봉,,,1.03,1,31,,
20982,482702001,백마산,고례리구간,,0.85,1,31,,
49124,267101601,철마산,송정리구간,,1.03,1,31,,
48500,483302101,천성산,,,1.04,1,31,,
46144,317103701,정족산,,,1.03,1,31,,
46168,317103701,정족산,,,1.02,1,31,,
10699,267100401,달음산,원리구간,,1.04,1,31,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의,
46144,317103701,정족산,,,1.03,1,31,,
46168,317103701,정족산,,,1.02,1,31,,
38052,311700401,염포산,화정동구간,,1.03,1,31,,
55084,482705801,화악산,,,1.02,1,31,,
31990,272600501,성암산,,,1.03,1,31,,
22312,472900901,백자산,송백리구간,,0.98,1,31,,
7644,472901401,금성산,구일리구간,,1.03,1,31,,
604,317100101,가지산,신원리구간,,1.04,1,31,,
22147,482706301,백운산,삼양리구간,,0.96,1,31,,
28649,472301601,사룡산,우라리구간,,1.04,1,31,,
52645,451305104,풍촌,학당리구간,,1.02,1,31,,
44699,451304401,장군봉,조촌동구간,,1.03,1,31,,
40719,451400301,용화산,,,1.03,1,31,,
18910,451400201,미륵산,자연학교구간,,1.04,1,31,,
25487,457101001,봉실산,봉산리구간,군사보호시설,1.02,1,31,군부대사격장,
11535,457100501,대부산,수만리구간,,0.84,1,31,"암석, 미끄러움 주의",
50574,448002101,초롱산,금당리구간,,0.85,1,31,,
46195,447901801,정혜산,화산리구간,,1.02,1,31,,
39075,441801701,오서산,,,1.04,1,31,,
26158,441801101,봉황봉,,,1.03,1,31,,
15403,447900601,만세봉,서정리구간,,1.03,1,31,,
54128,442500501,향적산,엄사리구간,,1.02,1,31,,
53437,441504001,한산,장승배기길구간,,1.03,1,31,,
1958,441500201,건지산,초봉리구간,,0.98,1,31,,
7310,302000301,금병산,추목동구간,,1.03,1,31,,
1318,302000101,갑하산,온천리구간,,1.02,1,31,,
1358,302000101,갑하산,송곡리구간,,0.85,1,31,,
5225,447300201,괴화산,석삼리마을입구-장재리버스승강장구과,,1.02,1,31,숲길시설이 전혀 없고 경작지 통과 지역이 많음,
1318,302000101,갑하산,온천리구간,,1.02,1,31,,
1358,302000101,갑하산,송곡리구간,,0.85,1,31,,
49520,448001901,철마산,부평리구간,,1.04,1,31,,
33631,448101401,수암산,상하리구간,,1.03,1,31,,
17444,441501201,무성산,,,1.02,1,31,,
35062,448301101,아미산,봉소리구간,,1.03,1,31,,
14534,448300501,둔군봉,석우리구간,,0.98,1,31,,
12341,448100301,덕산_가야산,고풍리구간,,1.04,1,31,,
28530,287200601,비조봉,서포리구간,,1.02,1,31,,
17314,412200801,무봉산,동천리구간,,0.85,1,31,,
6023,415900301,구봉산,상안리구간,,1.02,1,31,,
17535,437500601,무제산,명암리구간,,1.03,1,31,,
31922,441301801,성산,수헐리구간,,0.97,1,31,,
52844,414600103,한남정맥,,,1.03,1,31,,
43506,414604501,은이산,좌항리구간,,0.86,1,31,,
24463,414604101,봉두산,,,1.02,1,31,,
7273,414603801,금박산,,,1.02,1,31,,
34148,301101201,식장산,,,1.02,1,31,,
6593,437302701,국수봉,지오리구간,,1.03,1,31,,
52592,472504601,포성봉,,,1.03,1,31,,
56795,437403701,황학산,,,1.02,1,31,,
19570,437401401,민주지산,,,1.04,1,31,,
41025,472803101,운달산,석봉리구간,,1.02,1,31,,
13371,472801001,도장산,내서리구간,,1.02,1,31,,
49616,431303701,첩푸산,고운리구간,,1.04,1,31,,
5896,437200401,구병산,,,1.04,1,31,,
28189,478501601,비룡산,,,1.03,1,31,,
12599,478501001,도고산,노석리구간,,0.72,1,31,,
1149,421303001,감악산,용암리구간,,1.03,1,31,,
1169,431504201,감악산,황둔리구간,,1.04,1,31,,
1149,421303001,감악산,용암리구간,,1.03,1,31,,
1169,431504201,감악산,황둔리구간,,1.04,1,31,,
48444,471903601,천생산,신장리구간,신장리~정상~신장,0.84,1,31,,
47374,471905001,지산동산,도량동구간,,0.97,1,31,,
45728,477201501,적라산,무성리구간,,1.04,1,31,,
42956,478502801,유학산,구평동구간,,1.03,1,31,,
26677,471904401,북봉산,대망리구간,,1.02,1,31,,
21792,471905301,백운봉,남통동대성지윗쪽입구구간,,0.97,1,31,급경사 1개소(할딱고개) 있으니 주의 필요함,
